secs, nsecs, belief, value
127,590000000,,Obstacle_521.34546041372,0.0811363184219,-0.03604109499,1.34838636436
127,721000000,,ObstacleOnTheWayTrue
127,721000000,,Obstacle_161.39613560976,0.07700284982,-0.0360082265615,1.39872108445
127,956000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
128,29000000,,ObstacleOnTheWayTrue
128,43000000,,Obstacle_521.34546041372,0.0811363184219,-0.03604109499,1.34838636436
128,349000000,,ObstacleOnTheWayFalse
128,573000000,,ObstacleOnTheWayTrue
128,606000000,,Obstacle_161.17856765364,0.0808607171782,-0.0372240711441,1.18192461742
128,765000000,,CameraDownFalse
128,792000000,,Obstacle_161.17856765364,0.0808607171782,-0.0372240711441,1.18192461742
128,939000000,,ObstacleOnTheWayTrue
128,943000000,,Obstacle_161.17856765364,0.0808607171782,-0.0372240711441,1.18192461742
128,965000000,,KnowsTargetLocationMissing
128,977000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,BLOCKED
129,71000000,,Obstacle_161.17856765364,0.0808607171782,-0.0372240711441,1.18192461742
129,226000000,,ObstacleOnTheWayTrue
129,240000000,,Obstacle_161.17856765364,0.0808607171782,-0.0372240711441,1.18192461742
129,265000000,,CameraUpTrue
129,416000000,,KnowsTargetLocationFalse
129,736000000,,KnowsTargetLocationFalse
130,63000000,,KnowsTargetLocationTrue
130,423000000,,KnowsTargetLocationTrue
130,727000000,,KnowsTargetLocationTrue
131,13000000,,ObstacleOnTheWayMissing
131,45000000,,ObstacleOnTheWayUpdating
131,114000000,,KnowsTargetLocationTrue
131,437000000,,KnowsTargetLocationTrue
131,708000000,,KnowsTargetLocationTrue
132,8000000,,KnowsTargetLocationTrue
132,55000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
132,384000000,,KnowsTargetLocationTrue
132,698000000,,KnowsTargetLocationTrue
132,843000000,,CameraUpFalse
133,64000000,,ObstacleOnTheWayMissing
133,86000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,BLOCKED
133,343000000,,CameraDownTrue
133,520000000,,ObstacleOnTheWayFalse
133,818000000,,ObstacleOnTheWayFalse
134,98000000,,KnowsTargetLocationMissing
134,186000000,,ObstacleOnTheWayFalse
134,486000000,,ObstacleOnTheWayFalse
134,821000000,,ObstacleOnTheWayFalse
135,145000000,,KnowsTargetLocationMissing
135,175000000,,KnowsTargetLocationUpdating
135,173000000,,ObstacleOnTheWayFalse
135,504000000,,ObstacleOnTheWayFalse
135,798000000,,ObstacleOnTheWayFalse
136,64000000,,ObstacleOnTheWayFalse
136,127000000,,ObstacleOnTheWayTrue
136,138000000,,Obstacle_520.948186797543,-0.502346465039,-0.0367118753009,1.07366565362
136,185000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
136,403000000,,Obstacle_520.948186797543,-0.502346465039,-0.0367118753009,1.07366565362
136,547000000,,ObstacleOnTheWayTrue
136,676000000,,Obstacle_520.948186797543,-0.502346465039,-0.0367118753009,1.07366565362
136,832000000,,ObstacleOnTheWayTrue
136,943000000,,Obstacle_520.948186797543,-0.502346465039,-0.0367118753009,1.07366565362
136,995000000,,CameraDownFalse
137,107000000,,ObstacleOnTheWayTrue
137,193000000,,KnowsTargetLocationMissing
137,202000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,BLOCKED
137,495000000,,CameraUpTrue
137,681000000,,KnowsTargetLocationFalse
138,44000000,,KnowsTargetLocationFalse
138,211000000,,ObstacleOnTheWayMissing
