secs, nsecs, belief, value,,,,,
132,553000000,,KnowsTargetLocationFalse,,,,,
132,925000000,,KnowsTargetLocationFalse,,,,,
133,135000000,,KnowsTargetLocationTrue,,,,,
133,505000000,,KnowsTargetLocationTrue,,,,,
133,877000000,,KnowsTargetLocationTrue,,,,,
134,160000000,,KnowsTargetLocationTrue,,,,,
134,269000000,,DrivingFalse,,,,,
134,270000000,,ReachedToTargetTrue,,,,,
134,271000000,,TargetReached1,1.44,,,,
136,747000000,,ReachedToTargetFalse,,,,,
136,748000000,,NumberOfTargets2,,,,,
136,748000000,,ReachedUpdatedTrue,,,,,
139,756000000,,ReachedToTargetFalse,,,,,
139,756000000,,ReachedUpdatedFalse,,,,,
139,760000000,,CurrentTarget2,,,,,
139,760000000,,TargetChosenTrue,,,,,
142,802000000,,TargetChosenFalse,,,,,
142,803000000,,SearchingTargetTrue,,,,,
144,1000000,,KnowsTargetLocationMissing,,,,,
144,3000000,,KnowsTargetLocationUpdating,,,,,
145,10000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
146,29000000,,KnowsTargetLocationMissing,,,,,
147,65000000,,KnowsTargetLocationMissing,,,,,
147,67000000,,KnowsTargetLocationUpdating,,,,,
147,974000000,,Target_FoundTrue,,,,,
147,974000000,,SearchingTargetFalse,,,,,
148,78000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
148,889000000,,CameraDownFalse,,,,,
151,113000000,,Target_FoundFalse,,,,,
,,,,,,,,
Down time: ,39.855,,,,,,,
Up time: ,49.095,,,,,,,
