secs, nsecs, belief, value
112,783000000,,Obstacle_590.673918278423,0.0876231101941,-0.0387748276302,0.680696072187
112,875000000,,Obstacle_201.41634996067,0.0830742640687,-0.0370145006849,1.41926692969
113,22000000,,Obstacle_211.41992029212,0.0831035063746,-0.0345912803653,1.42277067212
113,195000000,,ObstacleOnTheWayTrue
113,328000000,,Obstacle_520.641417295565,0.0870492912369,-0.038799132461,0.648459018624
113,427000000,,Obstacle_201.41634996067,0.0830742640687,-0.0370145006849,1.41926692969
113,487000000,,ObstacleOnTheWayTrue
113,503000000,,Obstacle_211.33934415233,0.0831296027484,-0.035015759861,1.34237825991
113,837000000,,ObstacleOnTheWayTrue
113,837000000,,Obstacle_520.641417295565,0.0870492912369,-0.038799132461,0.648459018624
114,8000000,,Obstacle_211.27588463406,0.0855098412944,-0.0375099491561,1.2792968884
114,146000000,,ObstacleOnTheWayTrue
114,219000000,,Obstacle_211.27588463406,0.0855098412944,-0.0375099491561,1.2792968884
114,325000000,,KnowsTargetLocationMissing
114,338000000,,KnowsTargetLocationUpdating
114,470000000,,ObstacleOnTheWayTrue
114,471000000,,Obstacle_211.27588463406,0.0855098412944,-0.0375099491561,1.2792968884
114,678000000,,Obstacle_211.15127234287,0.0857041125841,-0.0361118501325,1.15502262665
114,829000000,,ObstacleOnTheWayTrue
114,889000000,,Obstacle_211.15127234287,0.0857041125841,-0.0361118501325,1.15502262665
115,135000000,,ObstacleOnTheWayTrue
115,160000000,,Obstacle_211.15127234287,0.0857041125841,-0.0361118501325,1.15502262665
115,349000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
115,430000000,,ObstacleOnTheWayTrue
115,442000000,,Obstacle_211.09597970927,0.0859090253926,-0.0374679526013,1.09997987765
115,709000000,,Obstacle_211.09597970927,0.0859090253926,-0.0374679526013,1.09997987765
115,836000000,,ObstacleOnTheWayTrue
115,966000000,,Obstacle_211.00975416935,0.0836543702644,-0.0361590593797,1.01385847817
116,193000000,,ObstacleOnTheWayTrue
116,205000000,,Obstacle_211.00975416935,0.0836543702644,-0.0361590593797,1.01385847817
116,515000000,,ObstacleOnTheWayTrue
116,533000000,,Obstacle_210.918451289456,0.0849029302117,-0.0358304032311,0.923062888679
116,804000000,,Obstacle_210.918451289456,0.0849029302117,-0.0358304032311,0.923062888679
116,935000000,,ObstacleOnTheWayTrue
117,63000000,,Obstacle_210.840562765835,0.0849157920891,-0.0375907328525,0.923062888679
117,320000000,,ObstacleOnTheWayTrue
117,338000000,,Obstacle_160.816511166326,0.0829219586022,-0.0361732093477,0.821507782695
117,416000000,,Obstacle_210.840562765835,0.0849157920891,-0.0375907328525,0.845676958567
117,694000000,,ObstacleOnTheWayTrue
117,719000000,,Obstacle_160.816511166326,0.0829219586022,-0.0361732093477,0.821507782695
117,794000000,,Obstacle_210.759576697605,0.0823366178617,-0.0361608751166,0.76488148564
117,965000000,,ObstacleOnTheWayTrue
117,965000000,,Obstacle_160.816511166326,0.0829219586022,-0.0361732093477,0.821507782695
118,68000000,,Obstacle_210.759576697605,0.0823366178617,-0.0361608751166,0.76488148564
118,304000000,,ObstacleOnTheWayTrue
118,308000000,,Obstacle_210.68945566502,0.0840935565065,-0.0387752367446,0.76488148564
118,585000000,,KnowsTargetLocationMissing
118,596000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,BLOCKED
118,622000000,,ObstacleOnTheWayTrue
118,623000000,,Obstacle_210.68945566502,0.0840935565065,-0.0387752367446,0.695646720153
118,965000000,,ObstacleOnTheWayTrue
