secs, nsecs, belief, value
104,815000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,BLOCKED
105,79000000,,CameraDownTrue
105,184000000,,ObstacleOnTheWayFalse
105,450000000,,ObstacleOnTheWayFalse
105,708000000,,ObstacleOnTheWayTrue
105,728000000,,Obstacle_201.06476298599,0.0876535905646,-0.036337248832,1.06898258355
106,45000000,,ObstacleOnTheWayTrue
106,48000000,,Obstacle_201.06476298599,0.0876535905646,-0.036337248832,1.06898258355
106,386000000,,ObstacleOnTheWayFalse
106,767000000,,ObstacleOnTheWayFalse
107,45000000,,ObstacleOnTheWayTrue
107,45000000,,Obstacle_201.44405564863,0.0851316686755,-0.0360625162576,1.44701230901
107,274000000,,Obstacle_201.44405564863,0.0851316686755,-0.0360625162576,1.44701230901
107,421000000,,ObstacleOnTheWayTrue
107,515000000,,Obstacle_201.44405564863,0.0851316686755,-0.0360625162576,1.44701230901
107,721000000,,ObstacleOnTheWayTrue
107,721000000,,Obstacle_201.33116576345,0.0873820586693,-0.0346897760334,1.33448165762
107,998000000,,ObstacleOnTheWayTrue
107,998000000,,Obstacle_201.33116576345,0.0873820586693,-0.0346897760334,1.33448165762
108,277000000,,ObstacleOnTheWayTrue
108,284000000,,Obstacle_191.2784949379,0.0854122605473,-0.0346615865925,1.28181355355
108,389000000,,Obstacle_201.25669271764,0.0841239214451,-0.036006800727,1.26001980557
108,635000000,,ObstacleOnTheWayTrue
108,750000000,,Obstacle_191.2784949379,0.0854122605473,-0.0346615865925,1.28181355355
108,882000000,,Obstacle_201.18709323497,0.0841912330827,-0.0363132675893,1.26001980557
108,912000000,,KnowsTargetLocationMissing
108,919000000,,KnowsTargetLocationUpdating
109,83000000,,ObstacleOnTheWayTrue
109,199000000,,Obstacle_520.659369852223,0.0882703368489,-0.0388228870252,0.666383876564
109,307000000,,Obstacle_201.18709323497,0.0841912330827,-0.0363132675893,1.19062889501
109,495000000,,ObstacleOnTheWayTrue
109,563000000,,Obstacle_520.659369852223,0.0882703368489,-0.0388228870252,0.666383876564
109,640000000,,Obstacle_201.09842577434,0.0863109381717,-0.0350540739192,1.10236906156
109,775000000,,ObstacleOnTheWayTrue
109,867000000,,Obstacle_520.659369852223,0.0882703368489,-0.0388228870252,0.666383876564
109,924000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
109,962000000,,Obstacle_191.08121223156,0.0854459463598,-0.036288229824,1.08519018381
110,11000000,,Obstacle_201.09842577434,0.0863109381717,-0.0350540739192,1.10236906156
110,99000000,,ObstacleOnTheWayTrue
110,178000000,,Obstacle_191.08121223156,0.0854459463598,-0.036288229824,1.08519018381
